Timestamp,imagine_future,today_compare_future_imagined,daydream_imagine,create_worlds_mind,stories_books_movies,tired_relax_way,movies_books_as_escape,afraid_growing_up
"2024/10/17 1:56:44 pm CET","5","Completely different","4","Yes, frequently","Mystery","Sleep","Yes, definitely","No"
"2024/10/17 2:04:04 pm CET","4","Completely different","5","Yes, frequently","Horror","Play games","Yes, definitely","Yes"
"2024/10/17 2:04:26 pm CET","4","Somewhat similar","4","Yes, sometimes","Science Fiction","Sleep","Sometimes","No"
"2024/10/17 2:06:04 pm CET","5","Somewhat similar","5","Yes, frequently","Fantasy","Watch TV","Yes, definitely","Yes"
"2024/10/17 2:06:28 pm CET","4","Somewhat similar","4","Yes, sometimes","Science Fiction","Sleep","Yes, definitely","Yes"
"2024/10/17 2:06:31 pm CET","5","Completely different","4","Yes, sometimes","Romance","Watch TV","Sometimes","Yes"
"2024/10/17 2:06:59 pm CET","5","Completely different","5","Yes, frequently","Historical","Sleep","Yes, definitely","No"
"2024/10/17 2:07:55 pm CET","4","Somewhat similar","5","Yes, sometimes","Slice of Life or Magical Realism","Go to the cinema alone","Yes, definitely","Yes"
"2024/10/17 2:10:29 pm CET","2","Somewhat similar","5","Yes, frequently","Fantasy","Sleep","Sometimes","Yes"
"2024/10/17 2:11:40 pm CET","3","Completely different","4","Yes, sometimes","Fantasy","Watch TV","Yes, definitely","Yes"
"2024/10/17 2:13:38 pm CET","5","Completely different","3","Yes, frequently","Fantasy","Watch TV","Yes, definitely","Yes"
"2024/10/17 2:13:56 pm CET","5","Completely different","5","Yes, frequently","Romance","Knit","Yes, definitely","No"
"2024/10/17 2:14:58 pm CET","3","Somewhat similar","5","Yes, frequently","Documentary","Sleep","Sometimes","No"
"2024/10/17 4:04:02 pm CET","4","Better","4","Yes, frequently","Adventure","Sleep","Yes, definitely","Yes"
"2024/10/17 5:04:38 pm CET","3","Not sure","5","Yes, frequently","Documentary","Sleep","Sometimes","Yes"
"2024/10/17 5:28:16 pm CET","4","Better;Completely different","3","Yes, frequently","Mystery","Take a walk","Yes, definitely","No"